what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1518077073799
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1518077073800
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1518077073808
started,bundle,com.collabnet.subversion.merge,2.2.1,"com.collabnet.subversion.merge",1518077073808
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1518077073820
started,bundle,com.microsoft.tfs.client.common,10.0.0.201003261741,"com.microsoft.tfs.client.common",1518077073832
started,bundle,com.microsoft.tfs.client.common.ui,10.0.0.201003261741,"com.microsoft.tfs.client.common.ui",1518077073842
started,bundle,com.microsoft.tfs.client.eclipse,10.0.0.201003261741,"com.microsoft.tfs.client.eclipse",1518077073844
started,bundle,com.microsoft.tfs.client.eclipse.ui,10.0.0.201003261741,"com.microsoft.tfs.client.eclipse.ui",1518077073844
started,bundle,com.salesforce.ide.api,20.0.1.201011121559,"com.salesforce.ide.api",1518077073862
started,bundle,com.salesforce.ide.core,20.0.1.201011121559,"com.salesforce.ide.core",1518077073862
started,bundle,com.salesforce.ide.core.compatibility,20.0.1.201011121559,"com.salesforce.ide.core.compatibility",1518077073868
started,bundle,com.salesforce.ide.core.compatibility.auth.platformdb,20.0.1.201011121559,"com.salesforce.ide.core.compatibility.auth.platformdb",1518077073876
started,bundle,com.salesforce.ide.ui,20.0.1.201011121559,"com.salesforce.ide.ui",1518077073876
started,bundle,com.salesforce.ide.ui.editors.intro,20.0.1.201011121559,"com.salesforce.ide.ui.editors.intro",1518077073877
started,bundle,com.salesforce.ide.upgrade,20.0.1.201011121559,"com.salesforce.ide.upgrade",1518077073877
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1518077073878
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1518077073879
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1518077073890
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1518077073894
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1518077073895
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1518077073897
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1518077073897
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1518077073898
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1518077073899
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1518077073904
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1518077073906
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1518077073907
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1518077073907
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1518077073907
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1518077073907
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1518077073915
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1518077073915
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1518077073915
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1518077073926
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1518077073927
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1518077073928
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1518077073928
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1518077073931
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1518077073933
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1518077073934
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1518077073939
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1518077073940
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1518077073940
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1518077073951
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1518077073963
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1518077073964
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1518077073969
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1518077073974
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1518077073974
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1518077073976
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1518077073976
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1518077073984
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1518077073991
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1518077073992
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1518077074016
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1518077074029
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1518077074030
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1518077074039
started,bundle,org.eclipse.jst.j2ee.ui,1.1.402.v201009080200,"org.eclipse.jst.j2ee.ui",1518077074040
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1518077074054
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1518077074054
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1518077074069
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1518077074077
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1518077074088
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1518077074088
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1518077074089
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1518077074092
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1518077074092
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1518077074099
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1518077074100
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1518077074109
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1518077074116
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1518077074118
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1518077074123
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1518077074127
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1518077074128
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1518077074136
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1518077074137
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1518077074141
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1518077074154
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1518077074160
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1518077074160
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1518077074164
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1518077074171
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1518077074175
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1518077074185
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1518077074192
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1518077074193
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1518077074196
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1518077074198
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1518077074202
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1518077074209
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1518077074211
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1518077074213
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1518077074213
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1518077074226
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1518077074226
started,bundle,org.tigris.subversion.subclipse.core,1.6.15,"org.tigris.subversion.subclipse.core",1518077074226
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1518077074226
started,bundle,org.tigris.subversion.subclipse.ui,1.6.15,"org.tigris.subversion.subclipse.ui",1518077074244
started,bundle,com.businessobjects.RCPRuntimeUtilities,12.2.212.r1346,"com.businessobjects.RCPRuntimeUtilities",1518077074267
started,bundle,com.businessobjects.crystalreports.designer.core,12.2.212.r1346,"com.businessobjects.crystalreports.designer.core",1518077074270
started,bundle,com.businessobjects.crystalreports.designer.editor,12.2.212.r1346,"com.businessobjects.crystalreports.designer.editor",1518077074282
started,bundle,com.businessobjects.crystalreports.designer.enginepreferences,12.2.212.r1346,"com.businessobjects.crystalreports.designer.enginepreferences",1518077074293
started,bundle,com.businessobjects.crystalreports.designer.reporteditlib,12.2.212.r1346,"com.businessobjects.crystalreports.designer.reporteditlib",1518077074301
started,bundle,com.businessobjects.crystalreports.designer.uibase,12.2.212.r1346,"com.businessobjects.crystalreports.designer.uibase",1518077074303
started,bundle,com.businessobjects.integration.eclipse.crystalreports.configure.projects,12.2.212.r1346,"com.businessobjects.integration.eclipse.crystalreports.configure.projects",1518077074326
started,bundle,org.vssplugin,1.6.2,"org.vssplugin",1518077074348
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1518077074360
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1518077074361
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1518077074368
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1518077074377
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1518077074377
os,sysinfo,,,"win32",1518077074380
arch,sysinfo,,,"x86",1518077074380
ws,sysinfo,,,"win32",1518077074380
locale,sysinfo,,,"zh_CN",1518077074380
processors,sysinfo,,,"4",1518077074380
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1518077074380
java.runtime.version,sysinfo,,,"1.6.0_12-b04",1518077074380
java.specification.name,sysinfo,,,"Java Platform API Specification",1518077074380
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1518077074380
java.specification.version,sysinfo,,,"1.6",1518077074380
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1518077074380
java.version,sysinfo,,,"1.6.0_12",1518077074380
java.vm.info,sysinfo,,,"mixed mode",1518077074380
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1518077074380
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1518077074380
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1518077074380
java.vm.specification.version,sysinfo,,,"1.0",1518077074380
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1518077074380
java.vm.version,sysinfo,,,"11.2-b01",1518077074380
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077080487
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077082431
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077094731
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.13,"org.tigris.subversion.clientadapter.javahl",1518077117980
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.12,"org.tigris.subversion.clientadapter.svnkit",1518077117981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1518077133878
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077135568
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077136143
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1518077137688
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518077137871
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518077137971
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1518077153870
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077154559
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077163464
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077164233
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077166153
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077166735
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077167244
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1518077167321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077167717
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077168882
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077169335
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077169705
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077170013
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077171263
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077171991
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1518077176703
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1518077176749
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077177358
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077178046
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1518077199667
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.200.v201008201800,"org.eclipse.jst.ws.jaxrs.core",1518077199693
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1518077199712
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1518077200028
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1518077200495
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1518077200495
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1518077200917
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1518077200922
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1518077201191
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1518077201320
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1518077201824
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1518077201825
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1518077201964
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1518077202081
started,bundle,org.eclipse.jst.jee.ui,1.0.302.v201009011600,"org.eclipse.jst.jee.ui",1518077202101
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.402.v201009081300,"org.eclipse.jst.j2ee.navigator.ui",1518077202230
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1518077206045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077208353
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518077209214
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1518077215872
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1518077215878
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077215971
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1518077219961
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1518077220119
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1518077221892
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1518077221918
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077223742
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077224688
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518077224702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077227262
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077227882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077252055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518078688204
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518078688861
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518078689890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518078690380
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518078703270
